,alignment_score,alignment_score,alignment_score,coherence_score,coherence_score,coherence_score,risk_seeking_score,risk_seeking_score,risk_seeking_score
,mean,std,count,mean,std,count,mean,std,count
model_name,,,,,,,,,
linear-utility,59.6,19.45,100,78.21,17.7,100,61.9,24.48,100
log-utility,82.2,13.36,100,86.38,9.09,100,47.1,29.59,100
risk-averse,76.35,18.52,100,81.89,14.0,100,45.8,29.31,100
risk-loving,63.4,22.58,100,76.52,18.94,100,66.55,24.17,100
