,alignment_score,alignment_score,alignment_score,coherence_score,coherence_score,coherence_score,risk_seeking_score,risk_seeking_score,risk_seeking_score
,mean,std,count,mean,std,count,mean,std,count
model_name,,,,,,,,,
linear-utility,53.2,16.58,100,83.04,13.76,100,67.6,30.46,100
log-utility,71.8,9.33,100,87.72,9.21,100,43.4,25.03,100
risk-averse,66.75,10.67,100,80.12,10.47,100,41.2,23.15,100
risk-loving,49.7,21.18,100,64.83,25.82,100,67.3,31.84,100
